repo,retention_tier,intra_repo_id,path_template_labeled,path_template,filename_template,filename_regex,sample_filename,anomaly,file_count_snapshot,first_seen_snapshot,last_seen_snapshot
Reports,ARCHIVE,GSH,/Reports/ARCHIVE/GSH/GSH_REGISTERED_SERVICE_POINTS/,/Reports/ARCHIVE/GSH/GSH_REGISTERED_SERVICE_POINTS/,PUBLIC_REGISTEREDSERVICEPOINTS_{date}.zip,PUBLIC_REGISTEREDSERVICEPOINTS_\d{8}\.zip,PUBLIC_REGISTEREDSERVICEPOINTS_20250401.zip,,12,2025-05-01T01:15:00,2026-04-01T01:51:00
Reports,ARCHIVE,GSH,/Reports/ARCHIVE/GSH/GSH_REVISED_AUCTION_QUANTITIES/,/Reports/ARCHIVE/GSH/GSH_REVISED_AUCTION_QUANTITIES/,PUBLIC_REVISEDAUCTIONQUANTITIES_{date}.zip,PUBLIC_REVISEDAUCTIONQUANTITIES_\d{8}\.zip,PUBLIC_REVISEDAUCTIONQUANTITIES_20250401.zip,,12,2025-05-01T01:15:00,2026-04-01T01:51:00
Reports,ARCHIVE,GSH,/Reports/ARCHIVE/GSH/GSH_ZONE_CURTAILMENT_INFORMATION/,/Reports/ARCHIVE/GSH/GSH_ZONE_CURTAILMENT_INFORMATION/,PUBLIC_ZONECURTAILMENTINFORMATION_{date}.zip,PUBLIC_ZONECURTAILMENTINFORMATION_\d{8}\.zip,PUBLIC_ZONECURTAILMENTINFORMATION_20260301.zip,,1,2026-04-01T01:52:00,2026-04-01T01:52:00
Reports,ARCHIVE,HistDemand,/Reports/ARCHIVE/HistDemand/,/Reports/ARCHIVE/HistDemand/,PUBLIC_HISTDEMAND_{date}.zip,PUBLIC_HISTDEMAND_\d{8}\.zip,PUBLIC_HISTDEMAND_20250301.zip,,12,2025-05-01T01:01:00,2026-04-01T01:23:00
Reports,ARCHIVE,MCCDispatch,/Reports/ARCHIVE/MCCDispatch/,/Reports/ARCHIVE/MCCDispatch/,PUBLIC_MCCDISPATCH_{date}.zip,PUBLIC_MCCDISPATCH_\d{8}\.zip,PUBLIC_MCCDISPATCH_20250416.zip,,375,2025-04-18T01:01:00,2026-04-27T01:01:00
Reports,ARCHIVE,MTPASA_DUIDAvailability,/Reports/ARCHIVE/MTPASA_DUIDAvailability/,/Reports/ARCHIVE/MTPASA_DUIDAvailability/,PUBLIC_MTPASADUIDAVAILABILITY_{date}.zip,PUBLIC_MTPASADUIDAVAILABILITY_\d{8}\.zip,PUBLIC_MTPASADUIDAVAILABILITY_20250301.zip,,12,2025-05-01T01:03:00,2026-04-01T01:46:00
Reports,ARCHIVE,MTPASA_RegionAvailability,/Reports/ARCHIVE/MTPASA_RegionAvailability/,/Reports/ARCHIVE/MTPASA_RegionAvailability/,PUBLIC_MTPASAREGIONAVAILABILITY_{date}.zip,PUBLIC_MTPASAREGIONAVAILABILITY_\d{8}\.zip,PUBLIC_MTPASAREGIONAVAILABILITY_20250301.zip,,12,2025-05-01T01:03:00,2026-04-01T01:47:00
Reports,ARCHIVE,Medium_Term_PASA_Reports,/Reports/ARCHIVE/Medium_Term_PASA_Reports/,/Reports/ARCHIVE/Medium_Term_PASA_Reports/,PUBLIC_MTPASA_{date}.zip,PUBLIC_MTPASA_\d{8}\.zip,PUBLIC_MTPASA_20250301.zip,,12,2025-05-01T01:01:00,2026-04-01T01:23:00
Reports,ARCHIVE,NEXT_DAY_AVAIL_SUBMISS_CLUSTER,/Reports/ARCHIVE/NEXT_DAY_AVAIL_SUBMISS_CLUSTER/,/Reports/ARCHIVE/NEXT_DAY_AVAIL_SUBMISS_CLUSTER/,PUBLIC_NEXT_DAY_AVAIL_SUBMISS_CLUSTER_{date}.zip,PUBLIC_NEXT_DAY_AVAIL_SUBMISS_CLUSTER_\d{8}\.zip,PUBLIC_NEXT_DAY_AVAIL_SUBMISS_CLUSTER_20250301.zip,,12,2025-05-01T01:03:00,2026-04-01T01:48:00
Reports,ARCHIVE,NEXT_DAY_AVAIL_SUBMISS_DAY,/Reports/ARCHIVE/NEXT_DAY_AVAIL_SUBMISS_DAY/,/Reports/ARCHIVE/NEXT_DAY_AVAIL_SUBMISS_DAY/,PUBLIC_NEXT_DAY_AVAIL_SUBMISS_DAY_{date}.zip,PUBLIC_NEXT_DAY_AVAIL_SUBMISS_DAY_\d{8}\.zip,PUBLIC_NEXT_DAY_AVAIL_SUBMISS_DAY_20250301.zip,,12,2025-05-01T01:03:00,2026-04-01T01:48:00
Reports,ARCHIVE,NEXT_DAY_MCCDISPATCH,/Reports/ARCHIVE/NEXT_DAY_MCCDISPATCH/,/Reports/ARCHIVE/NEXT_DAY_MCCDISPATCH/,PUBLIC_NEXT_DAY_MCCDISPATCH_{date}.zip,PUBLIC_NEXT_DAY_MCCDISPATCH_\d{8}\.zip,PUBLIC_NEXT_DAY_MCCDISPATCH_20250302.zip,,12,2025-05-02T01:03:00,2026-04-02T01:27:00
Reports,ARCHIVE,Network,/Reports/ARCHIVE/Network/,/Reports/ARCHIVE/Network/,PUBLIC_NETWORK_{date}.zip,PUBLIC_NETWORK_\d{8}\.zip,PUBLIC_NETWORK_20250404.zip,,54,2025-04-18T01:01:00,2026-04-24T01:02:00
Reports,ARCHIVE,Next_Day_Actual_Gen,/Reports/ARCHIVE/Next_Day_Actual_Gen/,/Reports/ARCHIVE/Next_Day_Actual_Gen/,NEW TEXT DOCUMENT.TXT,NEW\ TEXT\ DOCUMENT\.TXT,NEW TEXT DOCUMENT.TXT,,1,2016-09-29T17:31:00,2016-09-29T17:31:00
Reports,ARCHIVE,Next_Day_Actual_Gen,/Reports/ARCHIVE/Next_Day_Actual_Gen/,/Reports/ARCHIVE/Next_Day_Actual_Gen/,NEXT_DAY_ACTUAL_GEN_{date}.zip,NEXT_DAY_ACTUAL_GEN_\d{8}\.zip,NEXT_DAY_ACTUAL_GEN_20250301.zip,,12,2025-05-01T01:01:00,2026-04-01T01:30:00
Reports,ARCHIVE,Next_Day_Actual_Gen,/Reports/ARCHIVE/Next_Day_Actual_Gen/,/Reports/ARCHIVE/Next_Day_Actual_Gen/,_ZA{d5},_ZA\d{5},_ZA01492,,1,2016-09-29T17:32:00,2016-09-29T17:32:00
Reports,ARCHIVE,Next_Day_Dispatch,/Reports/ARCHIVE/Next_Day_Dispatch/,/Reports/ARCHIVE/Next_Day_Dispatch/,PUBLIC_NEXT_DAY_DISPATCH_{date}.zip,PUBLIC_NEXT_DAY_DISPATCH_\d{8}\.zip,PUBLIC_NEXT_DAY_DISPATCH_20250301.zip,,12,2025-05-01T01:01:00,2026-04-01T01:32:00
Reports,ARCHIVE,Next_Day_Intermittent_DS,/Reports/ARCHIVE/Next_Day_Intermittent_DS/,/Reports/ARCHIVE/Next_Day_Intermittent_DS/,PUBLIC_NEXT_DAY_INTERMITTENT_DS_{date}.zip,PUBLIC_NEXT_DAY_INTERMITTENT_DS_\d{8}\.zip,PUBLIC_NEXT_DAY_INTERMITTENT_DS_20250301.zip,,12,2025-05-01T01:16:00,2026-04-01T01:49:00
Reports,ARCHIVE,Next_Day_Intermittent_Gen_Scada,/Reports/ARCHIVE/Next_Day_Intermittent_Gen_Scada/,/Reports/ARCHIVE/Next_Day_Intermittent_Gen_Scada/,PUBLIC_NEXT_DAY_INTERMITTENT_GEN_SCADA_{date}.zip,PUBLIC_NEXT_DAY_INTERMITTENT_GEN_SCADA_\d{8}\.zip,PUBLIC_NEXT_DAY_INTERMITTENT_GEN_SCADA_20250301.zip,,12,2025-05-01T01:01:00,2026-04-01T01:21:00
