table,version,action,package,visibility,source,note
MTPASA_DUIDAVAILABILITY,v5.1,MODIFIED,MTPASA,,upgrade-report,
MTPASA_DUIDAVAILABILITY,v5.2,MODIFIED,MTPASA,,upgrade-report,
MTPASA_INTERCONNECTORRESULT,v4.27,MODIFIED,MTPASA,,upgrade-report,
MTPASA_INTERMITTENT_AVAIL,v4.28,MODIFIED,DEMAND_FORECASTS,,upgrade-report,
MTPASA_INTERMITTENT_AVAIL,v5.1,MODIFIED,DEMAND_FORECASTS,,upgrade-report,
MTPASA_INTERMITTENT_LIMIT,v4.28,MODIFIED,DEMAND_FORECASTS,,upgrade-report,
MTPASA_LOLPRESULT,v4.27,MODIFIED,MTPASA,,upgrade-report,
MTPASA_OFFERDATA,v5.2,MODIFIED,BIDS,,upgrade-report,
MTPASA_REGIONAVAILABILITY,v4.27,MODIFIED,MTPASA,,upgrade-report,
MTPASA_REGIONAVAILABILITY,v5.0,MODIFIED,MTPASA,,upgrade-report,
MTPASA_REGIONAVAILABILITY,v5.1,MODIFIED,MTPASA,,upgrade-report,
MTPASA_REGIONITERATION,v4.27,MODIFIED,MTPASA,,upgrade-report,
MTPASA_REGIONRESULT,v4.27,MODIFIED,MTPASA,,upgrade-report,
MTPASA_REGIONRESULT,v4.28,MODIFIED,MTPASA,,upgrade-report,
MTPASA_REGIONRESULT,v5.0,MODIFIED,MTPASA,,upgrade-report,
MTPASA_REGIONSUMMARY,v4.27,MODIFIED,MTPASA,,upgrade-report,
MTPASA_REGIONSUMMARY,v4.28,MODIFIED,MTPASA,,upgrade-report,
NETWORK_EQUIPMENTDETAIL,v5.1,MODIFIED,NETWORK,,upgrade-report,
NETWORK_OUTAGEDETAIL,v5.1,MODIFIED,NETWORK,,upgrade-report,
NETWORK_SUBSTATIONDETAIL,v5.1,MODIFIED,NETWORK,,upgrade-report,
OFFERLSHEDDATA,v5.5,MODIFIED,ASOFFER,Private,upgrade-report,
OFFERRPOWERDATA,v5.5,MODIFIED,ASOFFER,Private,upgrade-report,
