table,version,action,package,visibility,source,note
PD_ROOFTOP_PV_FCST_TRK,v5.6,ADDED,PRE_DISPATCH,Public,upgrade-report,
PMS_GROUP,v5.1,MODIFIED,PARTICIPANT_REGISTRATION,,upgrade-report,
PMS_GROUPNMI,v5.1,MODIFIED,PARTICIPANT_REGISTRATION,,upgrade-report,
PMS_GROUPSERVICE,v5.1,MODIFIED,PARTICIPANT_REGISTRATION,,upgrade-report,
PREDISPATCHLOAD,v5.2,MODIFIED,PRE_DISPATCH,,upgrade-report,
PREDISPATCHLOAD,v5.3,MODIFIED,PRE_DISPATCH,,upgrade-report,
PREDISPATCHLOAD,v5.5,MODIFIED,PRE_DISPATCH,Private & Public,upgrade-report,
PREDISPATCHLOAD,v5.6,MODIFIED,PRE_DISPATCH,Private & Public,upgrade-report,
PREDISPATCHOFFERTRK,v5.0,MODIFIED,PRE_DISPATCH,,upgrade-report,
PREDISPATCHPRICE,v5.2,MODIFIED,PRE_DISPATCH,,upgrade-report,
PREDISPATCHREGIONSUM,v4.29,MODIFIED,PRE_DISPATCH,,upgrade-report,
PREDISPATCHREGIONSUM,v5.1,MODIFIED,PRE_DISPATCH,,upgrade-report,
PREDISPATCHREGIONSUM,v5.2,MODIFIED,PRE_DISPATCH,,upgrade-report,
PREDISPATCHREGIONSUM,v5.3,MODIFIED,PRE_DISPATCH,,upgrade-report,
PREDISPATCHREGIONSUM,v5.5,MODIFIED,PRE_DISPATCH,Public,upgrade-report,
PREDISPATCH_MNSPBIDTRK,v5.0,MODIFIED,PRE_DISPATCH,,upgrade-report,
REALLOCATION,v4.30,MODIFIED,SETTLEMENT_CONFIG,,upgrade-report,
REGION_AREA,v5.6,ADDED,,,ddl,
REGION_AREA,v5.6,ADDED,MARKET_CONFIG,Public,upgrade-report,
RESIDUE_CON_DATA,v4.29,MODIFIED,IRAUCTION,,upgrade-report,
ROOFTOP_PV_ACTUAL,v4.27,MODIFIED,DEMAND_FORECASTS,,upgrade-report,
ROOFTOP_PV_ACTUAL,v5.6,MODIFIED,DEMAND_FORECASTS,Public,upgrade-report,
ROOFTOP_PV_ACTUAL_PRED,v5.6,ADDED,,,ddl,
ROOFTOP_PV_ACTUAL_PRED,v5.6,ADDED,DEMAND_FORECASTS,Public,upgrade-report,
ROOFTOP_PV_ACTUAL_RUN,v5.6,ADDED,,,ddl,
ROOFTOP_PV_ACTUAL_RUN,v5.6,ADDED,DEMAND_FORECASTS,Public,upgrade-report,
ROOFTOP_PV_FCST_P5_PRED,v5.6,ADDED,,,ddl,
ROOFTOP_PV_FCST_P5_PRED,v5.6,ADDED,DEMAND_FORECASTS,Public,upgrade-report,
ROOFTOP_PV_FCST_P5_RUN,v5.6,ADDED,,,ddl,
ROOFTOP_PV_FCST_P5_RUN,v5.6,ADDED,DEMAND_FORECASTS,Public,upgrade-report,
ROOFTOP_PV_FCST_PRED,v5.6,ADDED,,,ddl,
ROOFTOP_PV_FCST_PRED,v5.6,ADDED,DEMAND_FORECASTS,Public,upgrade-report,
ROOFTOP_PV_FCST_RUN,v5.6,ADDED,,,ddl,
ROOFTOP_PV_FCST_RUN,v5.6,ADDED,DEMAND_FORECASTS,Public,upgrade-report,
ROOFTOP_PV_FORECAST,v5.5,MODIFIED,DEMAND_FORECASTS,Public,upgrade-report,
ROOFTOP_PV_FORECAST,v5.6,MODIFIED,DEMAND_FORECASTS,Public,upgrade-report,
SECDEPOSIT_INTEREST_RATE,v4.27,MODIFIED,BILLING_CONFIG,,upgrade-report,
SECDEPOSIT_PROVISION,v4.27,MODIFIED,BILLING_CONFIG,,upgrade-report,
SETCFG_SAPS_SETT_PRICE,v5.2,MODIFIED,SETTLEMENT_CONFIG,,upgrade-report,
SETCFG_WDRRR_CALENDAR,v5.1,MODIFIED,SETTLEMENT_CONFIG,,upgrade-report,
SETCFG_WDR_REIMBURSE_RATE,v5.1,MODIFIED,SETTLEMENT_CONFIG,,upgrade-report,
SETCPDATA,v5.0,MODIFIED,SETTLEMENT_DATA,,upgrade-report,
SETCPDATA,v5.2,MODIFIED,SETTLEMENT_DATA,,upgrade-report,
SETFCASREGIONRECOVERY,v5.3,MODIFIED,SETTLEMENT_DATA,,upgrade-report,
SETINTRAREGIONRESIDUES,v5.3,MODIFIED,SETTLEMENT_DATA,,upgrade-report,
SETIRAUCSURPLUS,v5.0,MODIFIED,SETTLEMENT_DATA,,upgrade-report,
SETIRNSPSURPLUS,v5.0,MODIFIED,SETTLEMENT_DATA,,upgrade-report,
SETIRPARTSURPLUS,v5.0,MODIFIED,SETTLEMENT_DATA,,upgrade-report,
SETLOCALAREAENERGY,v5.0,MODIFIED,SETTLEMENT_DATA,,upgrade-report,
SETLOCALAREATNI,v5.0,MODIFIED,SETTLEMENT_DATA,,upgrade-report,
SETLSHEDPAYMENT,v5.5,MODIFIED,SETTLEMENT_DATA,Private,upgrade-report,
SETMARKETFEES,v5.0,MODIFIED,SETTLEMENT_DATA,,upgrade-report,
SETMARKETFEES,v5.3,MODIFIED,SETTLEMENT_DATA,,upgrade-report,
SETRPOWERPAYMENT,v5.5,MODIFIED,SETTLEMENT_DATA,Private,upgrade-report,
SET_ENERGY_GENSET_DETAIL,v5.3,ADDED,,,ddl,
SET_ENERGY_GENSET_DETAIL,v5.3,ADDED,SETTLEMENT_DATA,,upgrade-report,
SET_ENERGY_REGION_SUMMARY,v5.3,ADDED,,,ddl,
SET_ENERGY_REGION_SUMMARY,v5.3,ADDED,SETTLEMENT_DATA,,upgrade-report,
SET_ENERGY_TRANSACTIONS,v5.3,ADDED,,,ddl,
SET_ENERGY_TRANSACTIONS,v5.3,ADDED,SETTLEMENT_DATA,,upgrade-report,
SET_ENERGY_TRAN_SAPS,v5.2,MODIFIED,SETTLEMENT_DATA,,upgrade-report,
SET_FCAS_CLAWBACK_REQ,v5.5,ADDED,,,ddl,
SET_FCAS_CLAWBACK_REQ,v5.5,ADDED,SETTLEMENT_DATA,Public,upgrade-report,
SET_FCAS_CLAWBACK_RUN_TRK,v5.5,ADDED,,,ddl,
SET_FCAS_CLAWBACK_RUN_TRK,v5.5,ADDED,SETTLEMENT_DATA,Public,upgrade-report,
SET_FCAS_CLAWBACK_UNITSOLN,v5.5,ADDED,,,ddl,
SET_FCAS_CLAWBACK_UNITSOLN,v5.5,ADDED,SETTLEMENT_DATA,Private,upgrade-report,
SET_FCAS_PAYMENT,v5.2,MODIFIED,SETTLEMENT_DATA,,upgrade-report,
SET_FCAS_RECOVERY,v5.2,MODIFIED,SETTLEMENT_DATA,,upgrade-report,
SET_FCAS_RECOVERY,v5.3,MODIFIED,SETTLEMENT_DATA,,upgrade-report,
SET_FCAS_RECOVERY,v5.5,MODIFIED,SETTLEMENT_DATA,Private,upgrade-report,
SET_FCAS_REGULATION_TRK,v5.1,MODIFIED,SETTLEMENT_DATA,,upgrade-report,
SET_FCAS_REGULATION_TRK,v5.5,MODIFIED,SETTLEMENT_DATA,Public,upgrade-report,
SET_FCAS_REG_AMOUNT,v5.5,ADDED,,,ddl,
SET_FCAS_REG_AMOUNT,v5.5,ADDED,SETTLEMENT_DATA,Private,upgrade-report,
SET_FCAS_REG_DEF_AMT,v5.5,ADDED,,,ddl,
SET_FCAS_REG_DEF_AMT,v5.5,ADDED,SETTLEMENT_DATA,Private,upgrade-report,
SET_FCAS_REG_DEF_RESIDAMT,v5.5,ADDED,,,ddl,
SET_FCAS_REG_DEF_RESIDAMT,v5.5,ADDED,SETTLEMENT_DATA,Private,upgrade-report,
SET_FCAS_REG_DEF_RESIDAMT,v5.6,MODIFIED,SETTLEMENT_DATA,Private,upgrade-report,
SET_FCAS_REG_RESIDAMT,v5.5,ADDED,,,ddl,
SET_FCAS_REG_RESIDAMT,v5.5,ADDED,SETTLEMENT_DATA,Private,upgrade-report,
SET_FCAS_REG_RESIDAMT,v5.6,MODIFIED,SETTLEMENT_DATA,Private,upgrade-report,
SET_FPP,v5.5,ADDED,,,ddl,
SET_FPP,v5.5,ADDED,SETTLEMENT_DATA,Private,upgrade-report,
SET_NMAS_MANUAL_PAYMENT,v5.6,ADDED,,,ddl,
SET_NMAS_MANUAL_PAYMENT,v5.6,ADDED,SETTLEMENT_DATA,Private,upgrade-report,
SET_NMAS_RECOVERY,v5.3,MODIFIED,SETTLEMENT_DATA,,upgrade-report,
SET_NMAS_RECOVERY,v5.5,MODIFIED,SETTLEMENT_DATA,Private,upgrade-report,
SET_NMAS_RECOVERY_RBF,v5.5,MODIFIED,SETTLEMENT_DATA,Public,upgrade-report,
SET_RECOVERY_ENERGY,v5.1,MODIFIED,SETTLEMENT_DATA,,upgrade-report,
SET_RECOVERY_ENERGY,v5.3,MODIFIED,SETTLEMENT_DATA,,upgrade-report,
SET_SUBSTITUTE_DEMAND,v5.1,MODIFIED,SETTLEMENT_DATA,,upgrade-report,
SET_SUBST_RUN_VERSION,v5.1,MODIFIED,SETTLEMENT_DATA,,upgrade-report,
SET_WDR_RECON_DETAIL,v5.1,MODIFIED,SETTLEMENT_DATA,,upgrade-report,
SET_WDR_TRANSACT,v5.1,MODIFIED,SETTLEMENT_DATA,,upgrade-report,
SRA_CASH_SECURITY,v4.29,MODIFIED,IRAUCTION,,upgrade-report,
SRA_FINANCIAL_AUCPAY_DETAIL,v4.29,MODIFIED,IRAUCTION,,upgrade-report,
SRA_FINANCIAL_AUCPAY_SUM,v4.29,MODIFIED,IRAUCTION,,upgrade-report,
SRA_FINANCIAL_AUC_MARDETAIL,v4.29,MODIFIED,IRAUCTION,,upgrade-report,
SRA_FINANCIAL_AUC_MARGIN,v4.29,MODIFIED,IRAUCTION,,upgrade-report,
SRA_FINANCIAL_AUC_RECEIPTS,v4.29,MODIFIED,IRAUCTION,,upgrade-report,
SRA_FINANCIAL_RUNTRK,v4.29,MODIFIED,IRAUCTION,,upgrade-report,
SRA_OFFER_PRODUCT,v4.29,MODIFIED,IRAUCTION,,upgrade-report,
SRA_OFFER_PROFILE,v4.29,MODIFIED,IRAUCTION,,upgrade-report,
SRA_PRUDENTIAL_CASH_SECURITY,v4.29,MODIFIED,IRAUCTION,,upgrade-report,
SRA_PRUDENTIAL_COMP_POSITION,v4.29,MODIFIED,IRAUCTION,,upgrade-report,
SRA_PRUDENTIAL_EXPOSURE,v4.29,MODIFIED,IRAUCTION,,upgrade-report,
SRA_PRUDENTIAL_RUN,v4.29,MODIFIED,IRAUCTION,,upgrade-report,
SSM_CONTRACT_UNIT_AVAIL,v5.6,ADDED,,,ddl,
SSM_CONTRACT_UNIT_AVAIL,v5.6,ADDED,SYSTEM_SECURITY_MANAGEMENT,Private,upgrade-report,
SSM_ENABLEMENT_COSTS,v5.6,ADDED,,,ddl,
SSM_ENABLEMENT_COSTS,v5.6,ADDED,SYSTEM_SECURITY_MANAGEMENT,Public,upgrade-report,
SSM_ENABLEMENT_PERIOD,v5.6,ADDED,,,ddl,
SSM_ENABLEMENT_PERIOD,v5.6,ADDED,SYSTEM_SECURITY_MANAGEMENT,Public,upgrade-report,
SSM_INSTRUCTION,v5.6,ADDED,,,ddl,
SSM_INSTRUCTION,v5.6,ADDED,SYSTEM_SECURITY_MANAGEMENT,Private,upgrade-report,
SSM_SCHEDULE,v5.6,ADDED,,,ddl,
SSM_SCHEDULE,v5.6,ADDED,SYSTEM_SECURITY_MANAGEMENT,Private,upgrade-report,
SSM_SCHEDULED_AVAILABILITY,v5.6,ADDED,,,ddl,
SSM_SCHEDULED_AVAILABILITY,v5.6,ADDED,SYSTEM_SECURITY_MANAGEMENT,Private,upgrade-report,
STPASA_CONSTRAINTSOLUTION,v5.0,MODIFIED,STPASA_SOLUTION,,upgrade-report,
STPASA_CONSTRAINTSOLUTION,v5.6,MODIFIED,STPASA_SOLUTION,Public,upgrade-report,
STPASA_DUIDAVAILABILITY,v5.5,ADDED,,,ddl,
STPASA_DUIDAVAILABILITY,v5.5,ADDED,STPASA_SOLUTION,Public,upgrade-report,
STPASA_DUIDAVAILABILITY,v5.6,MODIFIED,STPASA_SOLUTION,Public,upgrade-report,
STPASA_INTERCONNECTORSOLN,v5.0,MODIFIED,STPASA_SOLUTION,,upgrade-report,
STPASA_INTERCONNECTORSOLN,v5.6,MODIFIED,STPASA_SOLUTION,Public,upgrade-report,
STPASA_REGIONSOLUTION,v4.28,MODIFIED,STPASA_SOLUTION,,upgrade-report,
STPASA_REGIONSOLUTION,v4.29,MODIFIED,STPASA_SOLUTION,,upgrade-report,
STPASA_REGIONSOLUTION,v5.1,MODIFIED,STPASA_SOLUTION,,upgrade-report,
STPASA_REGIONSOLUTION,v5.2,MODIFIED,STPASA_SOLUTION,,upgrade-report,
STPASA_REGIONSOLUTION,v5.3,MODIFIED,STPASA_SOLUTION,,upgrade-report,
STPASA_REGIONSOLUTION,v5.5,MODIFIED,STPASA_SOLUTION,Public,upgrade-report,
STPASA_REGIONSOLUTION,v5.6,MODIFIED,STPASA_SOLUTION,Public,upgrade-report,
TRADINGPRICE,v5.2,MODIFIED,TRADING_DATA,,upgrade-report,
TRANSMISSIONLOSSFACTOR,v5.3,MODIFIED,MARKET_CONFIG,,upgrade-report,
VOLTAGE_INSTRUCTION,v4.26,MODIFIED,VOLTAGE_INSTRUCTIONS,,upgrade-report,
VOLTAGE_INSTRUCTION,v5.2,MODIFIED,VOLTAGE_INSTRUCTIONS,,upgrade-report,
VOLTAGE_INSTRUCTION_TRK,v4.26,MODIFIED,VOLTAGE_INSTRUCTIONS,,upgrade-report,
